"id","description","price","type"
"10713","liniLED Aeris Profiel L20 4 m","6.81","ST"
"10717","liniLED Aeris Profiel H20 4 m","11.96","ST"
"10733","liniLED Aeris Profiel L30 4 m","9.30","ST"
"10737","liniLED Aeris Profiel H30 4 m","14.47","ST"
"10750","liniLED Aeris Kabelgoot 20 1 m","1.36","ST"
"10751","liniLED Aeris Kabelgoot 20 2 m","2.71","ST"
"10752","liniLED Aeris Kabelgoot 20 3 m","4.07","ST"
"10753","liniLED Aeris Kabelgoot 20 4 m","5.42","ST"
"10754","liniLED Aeris Kabelgoot 30 1 m","1.73","ST"
"10755","liniLED Aeris Kabelgoot 30 2 m","3.45","ST"
"10756","liniLED Aeris Kabelgoot 30 3 m","5.18","ST"
"10757","liniLED Aeris Kabelgoot 30 4 m","6.90","ST"
"10890","liniLED Aeris Clip 20","0.35","ST"
"10891","liniLED Aeris Clip 30","0.35","ST"
"10900","liniLED Aeris Eindkap L20","1.48","ST"
"10901","liniLED Aeris Eindkap L20 O","1.51","ST"
"10902","liniLED Aeris Eindkap LC20","1.55","ST"
"10903","liniLED Aeris Eindkap LC20 O","1.57","ST"
"10904","liniLED Aeris Eindkap H20","1.61","ST"
"10905","liniLED Aeris Eindkap H20 O","1.61","ST"
"10906","liniLED Aeris Eindkap HC20","1.63","ST"
"10907","liniLED Aeris Eindkap HC20 O","1.63","ST"
"10908","liniLED Aeris Eindkap C20","1.44","ST"
"10920","liniLED Aeris Eindkap L30","1.51","ST"
"10921","liniLED Aeris Eindkap L30 O","1.53","ST"
"10922","liniLED Aeris Eindkap LC30","1.59","ST"
"10923","liniLED Aeris Eindkap LC30 O","1.61","ST"
"10924","liniLED Aeris Eindkap H30","1.59","ST"
"10925","liniLED Aeris Eindkap H30 O","1.61","ST"
"10926","liniLED Aeris Eindkap HC30","1.61","ST"
"10927","liniLED Aeris Eindkap HC30 O","1.63","ST"
"10928","liniLED Aeris Eindkap C30","1.51","ST"
"11214","liniLED Aansluitkabel Demo","2.64","MTR"
"21002","liniLED PCB RGB D","15.00","MTR"
"21004","liniLED PCB Rood D","7.80","MTR"
"21005","liniLED PCB Groen D","10.50","MTR"
"21006","liniLED PCB Blauw D","10.50","MTR"
"21003","liniLED PCB Amber D","7.80","MTR"
"21017","liniLED PCB RGB P","38.60","MTR"
"21018","liniLED PCB Rood P","16.00","MTR"
"21020","liniLED PCB Groen P","19.00","MTR"
"21019","liniLED PCB Blauw P","19.00","MTR"
"21021","liniLED PCB Amber","16.00","MTR"
"21032A","liniLED PCB UWW 2400K HP (PSP)","19.00","MTR"
"21013A","liniLED PCB EWW 2700K HP (PSP)","19.00","MTR"
"21014A","liniLED PCB WW 3000K HP (PSP)","19.00","MTR"
"21015A","liniLED PCB NW 4000K HP (PSP)","19.00","MTR"
"21016A","liniLED PCB KW 6500K HP (PSP)","19.00","MTR"
"60000","Dubbelz Tape 6mm tbv PCB (l=50m)","4.71","ST"
"60004","Kabel Mono Wit","0.27","MTR"
"60005","Kabel RGB Wit","0.31","MTR"
"60006","Kabel Mono PUR","0.78","MTR"
"60007","Kabel RGB PUR","0.90","MTR"
"60010","Kabel Mono PUR M12 Male 1 m","5.42","ST"
"60011","Kabel Mono PUR M12 Male 5 m","8.92","ST"
"60012","Kabel Mono PUR M12 Male 10 m","13.29","ST"
"60013","Kabel RGB PUR M12 Male 1 m","6.63","ST"
"60014","Kabel RGB PUR M12 Male 5 m","10.41","ST"
"60015","Kabel RGB PUR M12 Male 10 m","15.68","ST"
"95000","Ingieten liniLED L20 Helder","11.50","MTR"
"95001","Ingieten liniLED L20 Diffuus","11.50","MTR"
"95003","Ingieten liniLED L30 Helder","17.25","MTR"
"95004","Ingieten liniLED L30 Diffuus","17.25","MTR"
"95010","Ingieten liniLED H20 Helder","23.00","MTR"
"95011","Ingieten liniLED H20 Diffuus","23.00","MTR"
"95013","Ingieten liniLED H30 Helder","46.50","MTR"
"95014","Ingieten liniLED H30 Diffuus","46.50","MTR"
"ARBEID-MIN","Arbeidsminuut intern magazijn","0.59","MINUUT"
"GRIJP","Kabeltule t.b.v. eindkap","0.07","ST"
"GRIJP","Kabeltule t.b.v. ALU zwart","0.07","ST"
"GRIJP","Kabeltule t.b.v. ALU wit","0.11","ST"
"GRIJP","Productsticker","0.25","ST"
"GRIJP","Handleiding","0.70","ST"
"GRIJP","Verpakking (per meter)","0.50","ST"
